Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,CLV_Proxy,Discount_Flag,Promo_Flag,Promo_Dependency,Satisfied,Loyalty_1,Loyalty_2,Value_Tier,Promo_Segment,Retention_Segment
615,68,Male,Jewelry,Accessories,85,Idaho,M,Lavender,Winter,4.0,Yes,Standard,Yes,Yes,21,Credit Card,Bi-Weekly,1785,1,1,2,1,21,1785,Medium,Discount Dependent,Loyal
616,67,Male,Sandals,Footwear,100,Maryland,L,Olive,Summer,2.6,Yes,Next Day Air,Yes,Yes,23,Venmo,Annually,2300,1,1,2,0,23,2200,High,Discount Dependent,Loyal
617,29,Male,Gloves,Accessories,72,Pennsylvania,L,Teal,Spring,4.6,Yes,Free Shipping,Yes,Yes,38,Credit Card,Every 3 Months,2736,1,1,2,1,38,2736,High,Discount Dependent,Loyal
618,50,Male,Backpack,Accessories,57,Colorado,M,Maroon,Fall,2.6,Yes,Standard,Yes,Yes,2,Bank Transfer,Quarterly,114,1,1,2,0,2,14,Low,Discount Dependent,At Risk
619,61,Male,Jacket,Outerwear,94,Indiana,L,Cyan,Spring,4.0,Yes,Express,Yes,Yes,21,Debit Card,Bi-Weekly,1974,1,1,2,1,21,1974,High,Discount Dependent,Loyal
620,19,Male,Backpack,Accessories,34,Nebraska,M,Charcoal,Summer,4.6,Yes,Store Pickup,Yes,Yes,1,Debit Card,Every 3 Months,34,1,1,2,1,1,34,Low,Discount Dependent,At Risk
621,33,Male,Backpack,Accessories,89,Rhode Island,M,Black,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,10,Venmo,Every 3 Months,890,1,1,2,0,10,790,Medium,Discount Dependent,Loyal
622,51,Male,Sunglasses,Accessories,27,Kansas,S,Red,Fall,4.4,Yes,Store Pickup,Yes,Yes,45,Credit Card,Weekly,1215,1,1,2,1,45,1215,Medium,Discount Dependent,Loyal
623,69,Male,Socks,Clothing,63,Georgia,S,Peach,Spring,4.0,Yes,Next Day Air,Yes,Yes,44,Bank Transfer,Fortnightly,2772,1,1,2,1,44,2772,High,Discount Dependent,Loyal
624,19,Male,Shoes,Footwear,70,Nevada,M,White,Fall,4.7,Yes,Standard,Yes,Yes,48,PayPal,Bi-Weekly,3360,1,1,2,1,48,3360,High,Discount Dependent,Loyal
625,55,Male,Pants,Clothing,87,South Carolina,XL,Pink,Fall,3.4,Yes,Express,Yes,Yes,21,PayPal,Annually,1827,1,1,2,0,21,1727,High,Discount Dependent,Loyal
626,49,Male,Jewelry,Accessories,79,Delaware,M,Red,Fall,4.0,Yes,Next Day Air,Yes,Yes,1,Venmo,Weekly,79,1,1,2,1,1,79,Low,Discount Dependent,At Risk
627,31,Male,Sunglasses,Accessories,79,New Hampshire,M,Indigo,Spring,3.9,Yes,Standard,Yes,Yes,10,Venmo,Annually,790,1,1,2,0,10,690,Low,Discount Dependent,Loyal
628,42,Male,Sandals,Footwear,44,Oregon,L,Black,Winter,4.1,Yes,Express,Yes,Yes,24,PayPal,Monthly,1056,1,1,2,1,24,1056,Medium,Discount Dependent,Loyal
629,69,Male,Sweater,Clothing,85,Massachusetts,M,White,Fall,3.8,Yes,2-Day Shipping,Yes,Yes,29,Credit Card,Monthly,2465,1,1,2,0,29,2365,High,Discount Dependent,Loyal
630,26,Male,Shoes,Footwear,90,Vermont,L,Beige,Spring,4.7,Yes,Standard,Yes,Yes,11,Debit Card,Annually,990,1,1,2,1,11,990,Medium,Discount Dependent,Loyal
631,41,Male,Jewelry,Accessories,94,Mississippi,S,Silver,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,33,Debit Card,Annually,3102,1,1,2,1,33,3102,High,Discount Dependent,Loyal
632,55,Male,Boots,Footwear,68,Washington,S,Violet,Summer,4.1,Yes,Store Pickup,Yes,Yes,27,Cash,Fortnightly,1836,1,1,2,1,27,1836,High,Discount Dependent,Loyal
633,35,Male,Backpack,Accessories,51,Wyoming,M,Red,Winter,3.9,Yes,Next Day Air,Yes,Yes,19,Venmo,Fortnightly,969,1,1,2,0,19,869,Medium,Discount Dependent,Loyal
634,66,Male,Sandals,Footwear,33,Minnesota,M,Orange,Spring,2.9,Yes,Express,Yes,Yes,50,Debit Card,Quarterly,1650,1,1,2,0,50,1550,Medium,Discount Dependent,Loyal
635,36,Male,Sneakers,Footwear,60,Ohio,M,Teal,Summer,3.9,Yes,Standard,Yes,Yes,46,PayPal,Weekly,2760,1,1,2,0,46,2660,High,Discount Dependent,Loyal
636,27,Male,Hoodie,Clothing,59,South Carolina,M,Brown,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,28,Cash,Quarterly,1652,1,1,2,1,28,1652,Medium,Discount Dependent,Loyal
637,41,Male,Handbag,Accessories,30,Wisconsin,M,Indigo,Summer,2.8,Yes,Store Pickup,Yes,Yes,14,Bank Transfer,Every 3 Months,420,1,1,2,0,14,320,Low,Discount Dependent,Loyal
638,21,Male,Sweater,Clothing,20,Tennessee,M,Cyan,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,46,Cash,Fortnightly,920,1,1,2,0,46,820,Medium,Discount Dependent,Loyal
639,53,Male,Sandals,Footwear,20,Maryland,S,Blue,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Monthly,820,1,1,2,0,41,720,Low,Discount Dependent,Loyal
640,54,Male,Dress,Clothing,24,Mississippi,L,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually,1200,1,1,2,1,50,1200,Medium,Discount Dependent,Loyal
641,53,Male,Skirt,Clothing,88,Minnesota,M,Gray,Summer,4.4,Yes,Store Pickup,Yes,Yes,28,Debit Card,Fortnightly,2464,1,1,2,1,28,2464,High,Discount Dependent,Loyal
642,47,Male,Blouse,Clothing,78,Alaska,M,Red,Winter,3.9,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Every 3 Months,1794,1,1,2,0,23,1694,Medium,Discount Dependent,Loyal
643,64,Male,Skirt,Clothing,25,Arkansas,L,Red,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,14,Debit Card,Bi-Weekly,350,1,1,2,0,14,250,Low,Discount Dependent,Loyal
644,18,Male,Sweater,Clothing,57,Oregon,XL,Green,Winter,3.2,Yes,Next Day Air,Yes,Yes,10,Bank Transfer,Every 3 Months,570,1,1,2,0,10,470,Low,Discount Dependent,Loyal
645,68,Male,Backpack,Accessories,93,Louisiana,S,Blue,Summer,4.3,Yes,Next Day Air,Yes,Yes,37,Cash,Weekly,3441,1,1,2,1,37,3441,High,Discount Dependent,Loyal
646,62,Male,Hoodie,Clothing,42,Oklahoma,S,Purple,Summer,4.2,Yes,Express,Yes,Yes,15,Venmo,Bi-Weekly,630,1,1,2,1,15,630,Low,Discount Dependent,Loyal
647,51,Male,Boots,Footwear,54,Indiana,XL,Pink,Spring,4.9,Yes,Standard,Yes,Yes,19,Venmo,Bi-Weekly,1026,1,1,2,1,19,1026,Medium,Discount Dependent,Loyal
648,54,Male,Blouse,Clothing,70,Mississippi,XL,Charcoal,Summer,3.7,Yes,Express,Yes,Yes,23,Credit Card,Fortnightly,1610,1,1,2,0,23,1510,Medium,Discount Dependent,Loyal
649,22,Male,Hoodie,Clothing,31,Michigan,M,Brown,Winter,4.1,Yes,Store Pickup,Yes,Yes,35,Credit Card,Weekly,1085,1,1,2,1,35,1085,Medium,Discount Dependent,Loyal
650,53,Male,Pants,Clothing,93,Delaware,L,Orange,Spring,4.2,Yes,Store Pickup,Yes,Yes,33,PayPal,Every 3 Months,3069,1,1,2,1,33,3069,High,Discount Dependent,Loyal
651,34,Male,Gloves,Accessories,40,Florida,M,Magenta,Spring,3.9,Yes,Next Day Air,Yes,Yes,12,Bank Transfer,Annually,480,1,1,2,0,12,380,Low,Discount Dependent,Loyal
652,32,Male,Hat,Accessories,32,Arkansas,L,Yellow,Summer,2.9,Yes,Next Day Air,Yes,Yes,41,Venmo,Fortnightly,1312,1,1,2,0,41,1212,Medium,Discount Dependent,Loyal
653,64,Male,Sunglasses,Accessories,27,Minnesota,M,Beige,Winter,3.1,Yes,Free Shipping,Yes,Yes,27,Venmo,Weekly,729,1,1,2,0,27,629,Low,Discount Dependent,Loyal
654,20,Male,Scarf,Accessories,68,North Dakota,M,Olive,Winter,3.6,Yes,2-Day Shipping,Yes,Yes,45,Cash,Fortnightly,3060,1,1,2,0,45,2960,High,Discount Dependent,Loyal
655,24,Male,Handbag,Accessories,59,California,L,Gray,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,23,Venmo,Annually,1357,1,1,2,1,23,1357,Medium,Discount Dependent,Loyal
656,20,Male,Handbag,Accessories,36,Mississippi,S,Purple,Fall,3.1,Yes,Free Shipping,Yes,Yes,19,Venmo,Monthly,684,1,1,2,0,19,584,Low,Discount Dependent,Loyal
657,42,Male,Jeans,Clothing,23,Pennsylvania,M,Beige,Summer,3.9,Yes,Standard,Yes,Yes,6,PayPal,Quarterly,138,1,1,2,0,6,38,Low,Discount Dependent,Potential Loyalist
658,48,Male,Jacket,Outerwear,80,Arizona,M,White,Winter,4.3,Yes,Free Shipping,Yes,Yes,6,PayPal,Quarterly,480,1,1,2,1,6,480,Low,Discount Dependent,Potential Loyalist
659,62,Male,Backpack,Accessories,37,Louisiana,S,White,Fall,4.9,Yes,Store Pickup,Yes,Yes,20,Venmo,Weekly,740,1,1,2,1,20,740,Low,Discount Dependent,Loyal
660,62,Male,Shorts,Clothing,52,Virginia,S,Gold,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,8,Cash,Weekly,416,1,1,2,0,8,316,Low,Discount Dependent,Loyal
661,50,Male,Coat,Outerwear,79,Montana,M,Olive,Fall,5.0,Yes,2-Day Shipping,Yes,Yes,39,Credit Card,Quarterly,3081,1,1,2,1,39,3081,High,Discount Dependent,Loyal
662,57,Male,Shirt,Clothing,68,Iowa,XL,Green,Fall,4.1,Yes,Store Pickup,Yes,Yes,39,Credit Card,Quarterly,2652,1,1,2,1,39,2652,High,Discount Dependent,Loyal
663,24,Male,Gloves,Accessories,98,Illinois,L,Magenta,Fall,2.8,Yes,Express,Yes,Yes,39,Venmo,Bi-Weekly,3822,1,1,2,0,39,3722,High,Discount Dependent,Loyal
664,59,Male,Dress,Clothing,83,Alaska,M,Charcoal,Fall,4.7,Yes,Express,Yes,Yes,23,Credit Card,Monthly,1909,1,1,2,1,23,1909,High,Discount Dependent,Loyal
665,63,Male,Pants,Clothing,83,Colorado,M,Indigo,Winter,4.4,Yes,Express,Yes,Yes,41,PayPal,Bi-Weekly,3403,1,1,2,1,41,3403,High,Discount Dependent,Loyal
666,41,Male,Pants,Clothing,55,New Mexico,M,Peach,Spring,4.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually,2750,1,1,2,1,50,2750,High,Discount Dependent,Loyal
667,35,Male,Hoodie,Clothing,26,Colorado,L,Turquoise,Winter,3.1,Yes,Free Shipping,Yes,Yes,30,Debit Card,Quarterly,780,1,1,2,0,30,680,Low,Discount Dependent,Loyal
668,34,Male,Sunglasses,Accessories,76,Arizona,S,Blue,Winter,2.6,Yes,Standard,Yes,Yes,32,Bank Transfer,Quarterly,2432,1,1,2,0,32,2332,High,Discount Dependent,Loyal
669,49,Male,T-shirt,Clothing,85,Hawaii,S,Turquoise,Fall,2.9,Yes,Express,Yes,Yes,35,Bank Transfer,Monthly,2975,1,1,2,0,35,2875,High,Discount Dependent,Loyal
670,43,Male,Jacket,Outerwear,89,Illinois,M,Gray,Spring,3.3,Yes,Free Shipping,Yes,Yes,45,Venmo,Bi-Weekly,4005,1,1,2,0,45,3905,High,Discount Dependent,Loyal
671,63,Male,Sweater,Clothing,41,Louisiana,XL,Purple,Spring,4.8,Yes,Next Day Air,Yes,Yes,37,Cash,Bi-Weekly,1517,1,1,2,1,37,1517,Medium,Discount Dependent,Loyal
672,38,Male,Jacket,Outerwear,30,Iowa,L,Black,Winter,4.7,Yes,Express,Yes,Yes,45,Cash,Weekly,1350,1,1,2,1,45,1350,Medium,Discount Dependent,Loyal
673,59,Male,Socks,Clothing,53,Washington,M,Peach,Winter,3.3,Yes,2-Day Shipping,Yes,Yes,29,Cash,Quarterly,1537,1,1,2,0,29,1437,Medium,Discount Dependent,Loyal
674,35,Male,Shirt,Clothing,66,Oklahoma,M,Indigo,Spring,4.2,Yes,Free Shipping,Yes,Yes,27,Venmo,Bi-Weekly,1782,1,1,2,1,27,1782,Medium,Discount Dependent,Loyal
675,48,Male,Jewelry,Accessories,33,Washington,XL,Beige,Winter,4.7,Yes,Store Pickup,Yes,Yes,36,Bank Transfer,Annually,1188,1,1,2,1,36,1188,Medium,Discount Dependent,Loyal
676,64,Male,Sunglasses,Accessories,86,Arkansas,M,Yellow,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,9,Cash,Annually,774,1,1,2,0,9,674,Low,Discount Dependent,Loyal
677,28,Male,Pants,Clothing,60,Connecticut,M,Peach,Winter,2.9,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Bi-Weekly,2280,1,1,2,0,38,2180,High,Discount Dependent,Loyal
678,60,Male,Socks,Clothing,62,Washington,S,Turquoise,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Annually,2542,1,1,2,0,41,2442,High,Discount Dependent,Loyal
679,27,Male,Blouse,Clothing,74,Maine,M,Teal,Fall,3.3,Yes,Store Pickup,Yes,Yes,25,Debit Card,Every 3 Months,1850,1,1,2,0,25,1750,High,Discount Dependent,Loyal
680,56,Male,Sandals,Footwear,95,Michigan,M,Turquoise,Fall,3.4,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,3515,1,1,2,0,37,3415,High,Discount Dependent,Loyal
681,58,Male,Sneakers,Footwear,25,Tennessee,M,Magenta,Spring,4.2,Yes,Express,Yes,Yes,3,PayPal,Annually,75,1,1,2,1,3,75,Low,Discount Dependent,At Risk
682,30,Male,Shirt,Clothing,59,Louisiana,XL,Purple,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,24,Credit Card,Every 3 Months,1416,1,1,2,0,24,1316,Medium,Discount Dependent,Loyal
683,23,Male,Jacket,Outerwear,29,Missouri,M,Brown,Summer,4.0,Yes,Standard,Yes,Yes,49,Credit Card,Bi-Weekly,1421,1,1,2,1,49,1421,Medium,Discount Dependent,Loyal
684,33,Male,Sandals,Footwear,36,Michigan,S,Violet,Winter,2.7,Yes,Free Shipping,Yes,Yes,3,Bank Transfer,Monthly,108,1,1,2,0,3,8,Low,Discount Dependent,At Risk
685,63,Male,Hat,Accessories,82,Alabama,M,Yellow,Summer,4.7,Yes,Express,Yes,Yes,42,Debit Card,Monthly,3444,1,1,2,1,42,3444,High,Discount Dependent,Loyal
686,70,Male,Blouse,Clothing,71,Massachusetts,XL,Magenta,Winter,3.5,Yes,Standard,Yes,Yes,32,Cash,Fortnightly,2272,1,1,2,0,32,2172,High,Discount Dependent,Loyal
687,70,Male,Sweater,Clothing,35,Indiana,L,Beige,Fall,3.0,Yes,2-Day Shipping,Yes,Yes,33,Venmo,Fortnightly,1155,1,1,2,0,33,1055,Medium,Discount Dependent,Loyal
688,19,Male,Gloves,Accessories,38,West Virginia,XL,Turquoise,Winter,3.3,Yes,Free Shipping,Yes,Yes,46,Bank Transfer,Quarterly,1748,1,1,2,0,46,1648,Medium,Discount Dependent,Loyal
689,25,Male,Scarf,Accessories,59,Michigan,S,Peach,Summer,4.7,Yes,Store Pickup,Yes,Yes,44,Venmo,Monthly,2596,1,1,2,1,44,2596,High,Discount Dependent,Loyal
690,19,Male,Hoodie,Clothing,91,Pennsylvania,M,Orange,Summer,4.7,Yes,Express,Yes,Yes,35,Credit Card,Every 3 Months,3185,1,1,2,1,35,3185,High,Discount Dependent,Loyal
691,25,Male,Shorts,Clothing,68,Alaska,XL,Red,Spring,4.8,Yes,Standard,Yes,Yes,45,Bank Transfer,Weekly,3060,1,1,2,1,45,3060,High,Discount Dependent,Loyal
692,60,Male,Backpack,Accessories,21,Massachusetts,L,Silver,Summer,2.9,Yes,Standard,Yes,Yes,37,PayPal,Bi-Weekly,777,1,1,2,0,37,677,Low,Discount Dependent,Loyal
693,35,Male,Sunglasses,Accessories,95,North Dakota,M,Cyan,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,40,Debit Card,Every 3 Months,3800,1,1,2,1,40,3800,High,Discount Dependent,Loyal
694,46,Male,Shorts,Clothing,52,Vermont,L,Turquoise,Spring,3.1,Yes,Free Shipping,Yes,Yes,30,Cash,Every 3 Months,1560,1,1,2,0,30,1460,Medium,Discount Dependent,Loyal
695,41,Male,Dress,Clothing,21,Kentucky,S,Charcoal,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Every 3 Months,798,1,1,2,0,38,698,Low,Discount Dependent,Loyal
696,30,Male,Shorts,Clothing,67,Nevada,XL,Peach,Summer,3.7,Yes,Next Day Air,Yes,Yes,15,Debit Card,Every 3 Months,1005,1,1,2,0,15,905,Medium,Discount Dependent,Loyal
697,44,Male,Belt,Accessories,42,Utah,L,Green,Fall,2.8,Yes,Standard,Yes,Yes,49,Cash,Monthly,2058,1,1,2,0,49,1958,High,Discount Dependent,Loyal
698,61,Male,Scarf,Accessories,63,North Dakota,XL,Brown,Summer,4.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,Quarterly,2520,1,1,2,1,40,2520,High,Discount Dependent,Loyal
699,55,Male,Boots,Footwear,41,Iowa,M,Yellow,Winter,3.8,Yes,Standard,Yes,Yes,40,Debit Card,Weekly,1640,1,1,2,0,40,1540,Medium,Discount Dependent,Loyal
700,50,Male,Handbag,Accessories,46,Connecticut,M,Charcoal,Fall,2.6,Yes,2-Day Shipping,Yes,Yes,5,PayPal,Weekly,230,1,1,2,0,5,130,Low,Discount Dependent,Potential Loyalist
701,57,Male,Pants,Clothing,79,Wisconsin,L,Olive,Winter,4.1,Yes,Standard,Yes,Yes,5,PayPal,Monthly,395,1,1,2,1,5,395,Low,Discount Dependent,Potential Loyalist
702,51,Male,Boots,Footwear,90,Idaho,L,Red,Fall,3.3,Yes,Next Day Air,Yes,Yes,5,Debit Card,Every 3 Months,450,1,1,2,0,5,350,Low,Discount Dependent,Potential Loyalist
703,18,Male,Shirt,Clothing,71,Montana,M,White,Winter,3.4,Yes,Store Pickup,Yes,Yes,1,Cash,Weekly,71,1,1,2,0,1,-29,Low,Discount Dependent,At Risk
704,63,Male,Dress,Clothing,87,Connecticut,L,Pink,Summer,3.0,Yes,Standard,Yes,Yes,21,Venmo,Weekly,1827,1,1,2,0,21,1727,High,Discount Dependent,Loyal
705,34,Male,Hoodie,Clothing,66,Idaho,S,Black,Spring,3.2,Yes,Express,Yes,Yes,18,PayPal,Annually,1188,1,1,2,0,18,1088,Medium,Discount Dependent,Loyal
706,25,Male,Pants,Clothing,90,Arkansas,XL,Indigo,Summer,4.5,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,4410,1,1,2,1,49,4410,High,Discount Dependent,Loyal
707,46,Male,Jeans,Clothing,47,Iowa,L,Turquoise,Summer,4.8,Yes,Express,Yes,Yes,27,Debit Card,Weekly,1269,1,1,2,1,27,1269,Medium,Discount Dependent,Loyal
708,59,Male,Shirt,Clothing,38,Louisiana,L,Purple,Spring,3.7,Yes,Next Day Air,Yes,Yes,21,Venmo,Annually,798,1,1,2,0,21,698,Low,Discount Dependent,Loyal
709,37,Male,Backpack,Accessories,50,Kentucky,L,Beige,Summer,3.4,Yes,Store Pickup,Yes,Yes,19,Cash,Fortnightly,950,1,1,2,0,19,850,Medium,Discount Dependent,Loyal
710,49,Male,Jacket,Outerwear,79,Massachusetts,L,Charcoal,Summer,4.6,Yes,Standard,Yes,Yes,23,Debit Card,Monthly,1817,1,1,2,1,23,1817,High,Discount Dependent,Loyal
711,22,Male,Scarf,Accessories,91,Virginia,L,Turquoise,Spring,4.1,Yes,Standard,Yes,Yes,26,PayPal,Fortnightly,2366,1,1,2,1,26,2366,High,Discount Dependent,Loyal
712,64,Male,Boots,Footwear,60,New Hampshire,M,Maroon,Spring,3.5,Yes,2-Day Shipping,Yes,Yes,13,Bank Transfer,Bi-Weekly,780,1,1,2,0,13,680,Low,Discount Dependent,Loyal
713,42,Male,Blouse,Clothing,81,New Hampshire,XL,Black,Summer,3.8,Yes,Next Day Air,Yes,Yes,36,Bank Transfer,Quarterly,2916,1,1,2,0,36,2816,High,Discount Dependent,Loyal
714,37,Male,Hoodie,Clothing,90,Oregon,M,Lavender,Summer,2.6,Yes,Express,Yes,Yes,39,Bank Transfer,Bi-Weekly,3510,1,1,2,0,39,3410,High,Discount Dependent,Loyal
715,26,Male,Jacket,Outerwear,70,South Dakota,M,Magenta,Fall,4.4,Yes,Store Pickup,Yes,Yes,40,Debit Card,Fortnightly,2800,1,1,2,1,40,2800,High,Discount Dependent,Loyal
716,33,Male,Jeans,Clothing,63,Delaware,L,Green,Spring,2.6,Yes,Express,Yes,Yes,37,Debit Card,Quarterly,2331,1,1,2,0,37,2231,High,Discount Dependent,Loyal
717,30,Male,Jewelry,Accessories,29,Missouri,M,Olive,Spring,3.6,Yes,Express,Yes,Yes,9,Venmo,Bi-Weekly,261,1,1,2,0,9,161,Low,Discount Dependent,Loyal
718,21,Male,Socks,Clothing,90,Alaska,L,Green,Spring,4.2,Yes,Express,Yes,Yes,7,Venmo,Every 3 Months,630,1,1,2,1,7,630,Low,Discount Dependent,Potential Loyalist
719,22,Male,Shirt,Clothing,22,Florida,M,Peach,Summer,4.6,Yes,Standard,Yes,Yes,25,Bank Transfer,Annually,550,1,1,2,1,25,550,Low,Discount Dependent,Loyal
720,63,Male,Shorts,Clothing,22,Mississippi,L,Turquoise,Summer,3.3,Yes,Next Day Air,Yes,Yes,42,Venmo,Bi-Weekly,924,1,1,2,0,42,824,Medium,Discount Dependent,Loyal
721,33,Male,Jewelry,Accessories,62,New Mexico,L,Orange,Fall,3.4,Yes,Free Shipping,Yes,Yes,19,Debit Card,Weekly,1178,1,1,2,0,19,1078,Medium,Discount Dependent,Loyal
722,43,Male,Blouse,Clothing,57,California,L,Silver,Summer,4.4,Yes,Next Day Air,Yes,Yes,41,Debit Card,Every 3 Months,2337,1,1,2,1,41,2337,High,Discount Dependent,Loyal
723,27,Male,Sweater,Clothing,32,Wyoming,S,Blue,Summer,4.3,Yes,Store Pickup,Yes,Yes,50,Cash,Bi-Weekly,1600,1,1,2,1,50,1600,Medium,Discount Dependent,Loyal
724,35,Male,Jewelry,Accessories,53,Missouri,L,Cyan,Fall,3.5,Yes,Express,Yes,Yes,43,PayPal,Monthly,2279,1,1,2,0,43,2179,High,Discount Dependent,Loyal
725,37,Male,T-shirt,Clothing,79,New Hampshire,XL,Green,Fall,4.7,Yes,Store Pickup,Yes,Yes,36,Venmo,Every 3 Months,2844,1,1,2,1,36,2844,High,Discount Dependent,Loyal
726,61,Male,Hat,Accessories,61,Texas,L,Silver,Winter,3.1,Yes,Standard,Yes,Yes,33,Debit Card,Fortnightly,2013,1,1,2,0,33,1913,High,Discount Dependent,Loyal
727,32,Male,Shorts,Clothing,78,North Dakota,L,Yellow,Summer,3.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Every 3 Months,1560,1,1,2,0,20,1460,Medium,Discount Dependent,Loyal
728,62,Male,Sweater,Clothing,97,Arkansas,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,37,Venmo,Every 3 Months,3589,1,1,2,1,37,3589,High,Discount Dependent,Loyal
729,29,Male,Jeans,Clothing,78,Nebraska,M,Pink,Winter,3.7,Yes,Next Day Air,Yes,Yes,12,PayPal,Every 3 Months,936,1,1,2,0,12,836,Medium,Discount Dependent,Loyal
730,41,Male,Sunglasses,Accessories,56,Minnesota,L,Beige,Summer,3.2,Yes,Express,Yes,Yes,46,PayPal,Every 3 Months,2576,1,1,2,0,46,2476,High,Discount Dependent,Loyal
731,48,Male,Boots,Footwear,25,Massachusetts,M,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,28,Venmo,Fortnightly,700,1,1,2,0,28,600,Low,Discount Dependent,Loyal
732,43,Male,Coat,Outerwear,28,Arkansas,M,Red,Spring,3.5,Yes,Free Shipping,Yes,Yes,30,PayPal,Fortnightly,840,1,1,2,0,30,740,Low,Discount Dependent,Loyal
733,34,Male,Shirt,Clothing,57,New Hampshire,L,Blue,Spring,2.8,Yes,Express,Yes,Yes,28,Cash,Bi-Weekly,1596,1,1,2,0,28,1496,Medium,Discount Dependent,Loyal
734,45,Male,Dress,Clothing,36,Rhode Island,L,Cyan,Fall,2.7,Yes,2-Day Shipping,Yes,Yes,20,Debit Card,Bi-Weekly,720,1,1,2,0,20,620,Low,Discount Dependent,Loyal
735,65,Male,Shirt,Clothing,69,New Jersey,S,Violet,Winter,3.1,Yes,Express,Yes,Yes,39,Bank Transfer,Every 3 Months,2691,1,1,2,0,39,2591,High,Discount Dependent,Loyal
736,61,Male,Sunglasses,Accessories,48,Montana,M,Orange,Fall,3.6,Yes,2-Day Shipping,Yes,Yes,48,Cash,Bi-Weekly,2304,1,1,2,0,48,2204,High,Discount Dependent,Loyal
737,18,Male,Dress,Clothing,58,Colorado,L,Maroon,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,32,Credit Card,Every 3 Months,1856,1,1,2,0,32,1756,High,Discount Dependent,Loyal
738,47,Male,Sunglasses,Accessories,24,Nebraska,M,Teal,Spring,3.6,Yes,Store Pickup,Yes,Yes,28,PayPal,Annually,672,1,1,2,0,28,572,Low,Discount Dependent,Loyal
739,56,Male,Sunglasses,Accessories,31,Minnesota,L,Orange,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,27,Venmo,Quarterly,837,1,1,2,0,27,737,Low,Discount Dependent,Loyal
740,64,Male,Shorts,Clothing,29,Minnesota,S,Purple,Summer,3.5,Yes,Free Shipping,Yes,Yes,26,Venmo,Bi-Weekly,754,1,1,2,0,26,654,Low,Discount Dependent,Loyal
741,26,Male,Jeans,Clothing,69,South Dakota,M,Orange,Summer,2.8,Yes,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly,1518,1,1,2,0,22,1418,Medium,Discount Dependent,Loyal
742,22,Male,T-shirt,Clothing,79,West Virginia,XL,Yellow,Summer,4.7,Yes,Free Shipping,Yes,Yes,23,Bank Transfer,Every 3 Months,1817,1,1,2,1,23,1817,High,Discount Dependent,Loyal
743,64,Male,Pants,Clothing,39,Nevada,M,Charcoal,Summer,3.1,Yes,Express,Yes,Yes,21,Debit Card,Quarterly,819,1,1,2,0,21,719,Low,Discount Dependent,Loyal
744,21,Male,Sunglasses,Accessories,84,North Carolina,L,Gray,Fall,4.9,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,3024,1,1,2,1,36,3024,High,Discount Dependent,Loyal
745,67,Male,Boots,Footwear,66,Illinois,S,Charcoal,Spring,4.1,Yes,Next Day Air,Yes,Yes,42,Debit Card,Bi-Weekly,2772,1,1,2,1,42,2772,High,Discount Dependent,Loyal
746,46,Male,T-shirt,Clothing,92,Michigan,L,Orange,Fall,4.7,Yes,Standard,Yes,Yes,4,Venmo,Monthly,368,1,1,2,1,4,368,Low,Discount Dependent,Potential Loyalist
747,40,Male,Sandals,Footwear,45,Michigan,M,Red,Winter,2.5,Yes,Free Shipping,Yes,Yes,47,Credit Card,Annually,2115,1,1,2,0,47,2015,High,Discount Dependent,Loyal
748,51,Male,Shorts,Clothing,74,Oklahoma,L,Gold,Spring,4.4,Yes,Next Day Air,Yes,Yes,13,Bank Transfer,Weekly,962,1,1,2,1,13,962,Medium,Discount Dependent,Loyal
